Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,A Touch Of Class,Around the World (La La La La La) - Radio Version,214533,7CvOnbFdnIoXMQ4eFCo5lB,5wTdspmxzb8V4ZjvDodpBo,DEP810000008
1,2 Unlimited,No limit - RAP VERSION,224220,5sqf1N65NUzVXVAwjgOVJg,18JD8DVlD1fakDAw7E9LFC,BEAA19305003
2,Eurodance Addiction,Mr. Vain,259933,5lLLHfFD4uq1AksFGKlGVs,5hySCdMlNPlrOW4csOsGyQ,FRY510881965
3,Eurodance Addiction,Rhythm Is a Dancer,205160,4oZVkwkmihuAXHx2zZfDgO,5hySCdMlNPlrOW4csOsGyQ,FRY510881915
4,Eurodance Addiction,Be My Lover,236560,1vS49yTGhkVqU3I50FtEBV,5hySCdMlNPlrOW4csOsGyQ,FRY510881918
5,Eurodance Addiction,Scatman,201626,1DjTtEiORral1T6MWZXkwP,5hySCdMlNPlrOW4csOsGyQ,FRY510881946
6,Eurodance Addiction,Coco Jamboo,221186,3zC8XjoovwJXDG8nZFtnBq,5hySCdMlNPlrOW4csOsGyQ,FRY510881366
7,Eurodance Addiction,Piece of My Heart,245226,2KGVoITWFQKCmMB06mjcKi,5hySCdMlNPlrOW4csOsGyQ,FR0W61869072
8,Eurodance Addiction,Doctor Jones,196066,5NAtZTAj5LmvAmZxXJYwm5,5hySCdMlNPlrOW4csOsGyQ,FR0W61877560
9,Eurodance Addiction,Blue (Da Ba Dee),204293,2Jgu6nlPz18EfDe9JngKDC,5hySCdMlNPlrOW4csOsGyQ,FR80T1393170
10,Eurodance Addiction,Macarena,233253,70GfdLHiKchc1PeABr0DwJ,5hySCdMlNPlrOW4csOsGyQ,FR80T0200669
11,Eurodance Addiction,Pump Up the Jam,215533,73SVKPBriNVSbmHwVeWZUX,5hySCdMlNPlrOW4csOsGyQ,FRY510881955
12,Eurodance Addiction,This Is How We Party,205253,2qdFrq9DTa2ZFJqS3UmNZA,5hySCdMlNPlrOW4csOsGyQ,FR0W61861854
13,Eurodance Addiction,Feel the Heat of the Night,219533,1dkKFIC72k13vBrog1TL4E,5hySCdMlNPlrOW4csOsGyQ,FRY510881969
14,Eurodance Addiction,Sing Hallelujah,239693,0JgQnTrhqCwoThAsE5tGBM,5hySCdMlNPlrOW4csOsGyQ,FR0W69970101
15,Eurodance Addiction,Get Up,209333,0NgivJo5AgN0mGNAKk2qHq,5hySCdMlNPlrOW4csOsGyQ,FRY510881974
16,Eurodance Addiction,Freed from Desire,213946,1lRdvbVTfuoNezVFnlF3mG,5hySCdMlNPlrOW4csOsGyQ,FRY510881912
17,Eurodance Addiction,Where Do You Go,273346,1KEQFK8WgocOGFT7jpuspQ,5hySCdMlNPlrOW4csOsGyQ,FRY510881949
18,Eurodance Addiction,Please Don't Go,196506,02CtUfzxrTwxjxC8PZqAHM,5hySCdMlNPlrOW4csOsGyQ,FRY510881963
19,Eurodance Addiction,Pump up the Jam,215533,0UNcj1ETI3osFy4xPjFzyP,5hySCdMlNPlrOW4csOsGyQ,FR0W61863211
20,Eurodance Addiction,Stay,214160,59puiQRGCjnROX16IxhCbk,5hySCdMlNPlrOW4csOsGyQ,FRY510881971
