Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,Fall of Civilizations Podcast,1. Roman Britain - The Work of Giants Crumbled,3819022,0czJt3RPyIAYCAgJbVwb3W,44DE64rRpX1cFIQUlqQtvi,
1,Fall of Civilizations Podcast,2. The Bronze Age Collapse - Mediterranean Apocalypse,3885952,2fp6O8oAYbegrMqVnbjZju,44DE64rRpX1cFIQUlqQtvi,
2,Fall of Civilizations Podcast,3. The Mayan Collapse - Ruins Among the Trees,4196040,5eeyv39NW5HpSBJi4geS5E,44DE64rRpX1cFIQUlqQtvi,
3,Fall of Civilizations Podcast,4. The Greenland Vikings - Land of the Midnight Sun,4941219,7j6Iix39liJLuVr5rsbyyr,44DE64rRpX1cFIQUlqQtvi,
4,Fall of Civilizations Podcast,5. The Khmer Empire - Fall of the God Kings,5921607,4X28BpIpskiEYKXV9ZBRKf,44DE64rRpX1cFIQUlqQtvi,
5,Fall of Civilizations Podcast,6. Easter Island - Where Giants Walked,6225273,0pGCsvdjo344EQ2dALE6dD,44DE64rRpX1cFIQUlqQtvi,
6,Fall of Civilizations Podcast,7. The Songhai Empire - Africa's Age of Gold,8187900,7EXVuIxbI9pw0KNkxhBXzH,44DE64rRpX1cFIQUlqQtvi,
7,Fall of Civilizations Podcast,8. The Sumerians - Fall of the First Cities,8960005,02mi6TfCLV0ynvSlmhqZqj,44DE64rRpX1cFIQUlqQtvi,
8,Fall of Civilizations Podcast,9. The Aztecs - A Clash of Worlds,15287370,0b4bQQv1DdmPufeecBZU1E,44DE64rRpX1cFIQUlqQtvi,
9,Fall of Civilizations Podcast,10. China's Han Dynasty - The First Empire in Flames,10418395,1QSqboFJ5y9571JHMJo1Y7,44DE64rRpX1cFIQUlqQtvi,
10,Fall of Civilizations Podcast,11. Byzantium - Last of the Romans,12450471,4iiSrljKh9sVHBgMPd9EPd,44DE64rRpX1cFIQUlqQtvi,
11,Fall of Civilizations Podcast,12. The Inca - Cities in the Cloud,12054418,3NqbrjtiSkHrWjO0pM51Do,44DE64rRpX1cFIQUlqQtvi,
