Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,Skipinnish,Alive,251480,6MahSy7GbEL8Yv1I0ByoID,36CTt0jf6A3huRPr0lupzP,GBPCQ1702601
1,Shanneyganock,Rockin' On the Water,234666,3F4dHibqBItWZGek0wz5KZ,04afWRg7KofT5Ae0W1kjpU,CAAE21300133
2,Gaelic Storm,Don't Let The Truth Get In The Way (Of A Good Story),211266,5n3TwwEElcfrwjp6ut3M1B,5dlzTgw97q5k5ws89Ww1UK,QM7JH0800794
3,Flogging Molly,What’s Left of the Flag,218960,2NFyWtBM9pTPszMMmxjVOl,5kQGFREO5FzMBMsAO3cEtj,USA6G0223002
4,Sham Rock,Tell Me Ma,234240,7BZOYDhoCAR2AkvGBrj6vw,3btIWfhXaf5db1gpLbXuB3,GBEXG0307114
5,Celtic Thunder,The Galway Girl,162133,3CeiAaccketdGMVcgzzxnK,0DZ5n0r1P0ZjKbjPdbN4wr,IEBOD1525229
6,Spirit Of The West,Home For A Rest,276173,41hzhXfYJYVFWF21JrmkA9,1wheYCHOG8jXrzyqvbEjKH,CAW119000447
7,The Irish Descendants,Rocky Road To Dublin,329333,5yQEXFAIX7bzInIPTY94A1,5giSQAxJBRmRI6RpjDza9I,CAW119300671
8,Stan Rogers,Fogarty's Cove,133840,7kwHZOS1U7TuQSDb0cUCMl,3cS04S9ChhEClgDghrhOzg,CAFB50710103
9,Enter The Haggis,One Last Drink,208186,156fYYicI5aC1NmWgU5F4R,1LJuYVYyKSm7Tw9xGuulhS,ushm91191074
10,Great Big Sea,Ordinary Day,191266,07W1mUW1Q09J8vDpvgI0hK,0GxOdKrtD5oUmQROcCs8M4,CAG149700001
11,Great Big Sea,When I'm Up (I Can't Get Down),207266,1lXWuBPaZYcMyDlkzOrvrR,0GxOdKrtD5oUmQROcCs8M4,CAG149700002
12,Great Big Sea,Donkey Riding,145866,0UVGbRmGoMglZH9YkUngv8,0GxOdKrtD5oUmQROcCs8M4,CAG149700005
13,Great Big Sea,Jakey's Gin,173800,5pGliRK3P3or2OpNC9oQgt,0GxOdKrtD5oUmQROcCs8M4,CAG149700013
14,Great Big Sea,Jolly Roving Tar,178800,2fPF8kL7Vr5GkP0pz9psfg,0GxOdKrtD5oUmQROcCs8M4,CAG149700015
15,Great Big Sea,Excursion Around The Bay,149560,1U5Gny304haj47wP1e19Jl,0GxOdKrtD5oUmQROcCs8M4,CAW119500860
16,Great Big Sea,Drunken Sailor,173840,2tLPxHCqg2lhXEGZBcKCll,0GxOdKrtD5oUmQROcCs8M4,CAW119500864
17,Great Big Sea,Company of Fools,242226,53RpQJriXPeayPAFZEObzs,0GxOdKrtD5oUmQROcCs8M4,CAW110800012
18,Great Big Sea,Straight to Hell,256399,2hifYgIqzxLTZSuEnGkJEP,0GxOdKrtD5oUmQROcCs8M4,CAW110800018
19,Great Big Sea,When I Am King,151000,62JoBYOAfhq8rVKlgdE04d,0GxOdKrtD5oUmQROcCs8M4,CAW111200215
20,Great Big Sea,Let My Love Open The Door,256839,0qK9SFQtV9WmPCpLHmOEpu,0GxOdKrtD5oUmQROcCs8M4,CAW111200222
21,Great Big Sea,Gideon Brown,174253,6JaR4djqufPAktbH1qMalX,0GxOdKrtD5oUmQROcCs8M4,CAW111200226
22,Great Big Sea,Lukey (with the Chieftains),203613,10Iv2bVM1bnhuyDz6l5dDf,0GxOdKrtD5oUmQROcCs8M4,CAW111200231
23,Great Big Sea,Old Black Rum,149426,2tY4PP6cdMXOi4wkxkpXV3,0GxOdKrtD5oUmQROcCs8M4,CAW111200236
24,Great Big Sea,Captain Kidd,170640,7r4PBm0CvKviSJOtlLp0VY,0GxOdKrtD5oUmQROcCs8M4,CAW111200233
25,Great Big Sea,Good People,154613,0Y4oajgrwWkK9V1zHi0or9,0GxOdKrtD5oUmQROcCs8M4,CAW111200242
26,Spirit Of The West,The Crawl,245266,6zHXiPdY19T5meF68PMfOA,1wheYCHOG8jXrzyqvbEjKH,CAL351700107
27,The Irish Rovers,Wasn’t That a Party,218186,1FHp07p1T7AzEUv32Ik9eQ,0tkKwWigaADLYB9HdFCjYo,CA6BE1400020
28,The Rankin Family,Mairi's Wedding (Michael Rankin's Reel),233960,3xVb6kKSxxOa9B4VaWzg8l,7hrI9fyRMBg7H34RVWvoZH,TCABQ1344720
29,The Rankin Family,Gillis Mountain,187373,2F2DPVQD7EVOu3bnkVky7A,7hrI9fyRMBg7H34RVWvoZH,TCABQ1344825
30,The Dubliners,Whiskey in the Jar,178533,1UzofFX5AkfTDnwjcBkM4J,72RvmgEg2omdlMV9aExO6a,USSM10113823
31,Kathy Durkin,Blue Hills Of Breffni / Old Dungarvan Oak / Star Of The County Down,216373,5LdbJbg9JL1aRplIe9AXnb,5stiO4W5xbuQnrQ7cYrgzp,GBHFP0902110
32,The Irish Rovers,Star of the County Down,164960,20rSQWz7sHkt7F4LiUK5h0,0tkKwWigaADLYB9HdFCjYo,TCAAY1127642
33,Hugo Duncan,Come Down The Mountain Katie Daly,183253,5jHZ4FbmeMs0aVzMTmyPSC,0i8pp2xFutwhtWN40eBhnb,GBHFP0401646
34,The Irish Descendants,Irish Rover,232573,2xhvCFaMykmT9aENPDtymZ,5giSQAxJBRmRI6RpjDza9I,ushm21155093
