Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,Meat Loaf,I'd Do Anything For Love (But I Won't Do That) - Single Edit,316466,391CwgcBxvUHmEKda2b5In,7dnB1wSxbYa8CejeVg98hz,USMC19341323
1,Meat Loaf,Bat Out of Hell,590000,3mCeeoBvTTpg8Xy2Wuvirw,7dnB1wSxbYa8CejeVg98hz,USSM11206824
2,Meat Loaf,Two Out of Three Ain't Bad,324440,2ph0hzV1kCVhR82E2La4q5,7dnB1wSxbYa8CejeVg98hz,USSM11206828
3,Meat Loaf,You Took The Words Right Out of My Mouth (Hot Summer Night),304440,7wawEkN4nhPqSBWleGvdxa,7dnB1wSxbYa8CejeVg98hz,USSM11206825
4,Poison,Every Rose Has Its Thorn - Remastered 2003,260173,43GS3mtezoIFiuIZCLLiDY,1fBCIkoPOPCDLUxGuWNvyo,USCA20300335
5,"""Weird Al"" Yankovic",Smells Like Nirvana,224533,5Q1qSEtljHQzUygQTt0Ykw,1bDWGdIC2hardyt55nlQgG,USVR10200019
6,"""Weird Al"" Yankovic",Eat It,200626,0WuYuWhLws8VahMy2zLLRJ,1bDWGdIC2hardyt55nlQgG,USVR10200028
7,"""Weird Al"" Yankovic","Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)",199533,6nofbMbadUdrtZmIsBHyYE,1bDWGdIC2hardyt55nlQgG,USVR10300129
8,"""Weird Al"" Yankovic","The Saga Begins (Lyrical Adaption of ""American Pie"")",329453,4PZvyMc32DVXmvk75qPVHN,1bDWGdIC2hardyt55nlQgG,USVR19910850
9,"""Weird Al"" Yankovic","White & Nerdy (Parody of ""Ridin'"" by Chamillionaire feat. Krayzie Bone)",170293,4YSI10rj5lMY6Id5Tm3KKo,1bDWGdIC2hardyt55nlQgG,USVR10600081
10,"""Weird Al"" Yankovic","Party In the CIA (Parody of ""Party In The U.S.A."" by Miley Cyrus)",176800,5eZaT21ZVGyGHJ8kcwaNxA,1bDWGdIC2hardyt55nlQgG,USVR11100058
11,"""Weird Al"" Yankovic",Word Crimes,223120,4JqQWAr47pGEoaMArpA7Z3,1bDWGdIC2hardyt55nlQgG,USRC11401406
12,"""Weird Al"" Yankovic",Stop Forwarding That Crap to Me,342040,0dHucIuRYXSyl8f5nhewux,1bDWGdIC2hardyt55nlQgG,USVR11100060
13,Journey,Don't Stop Believin',250986,4bHsxqR3GMrXTxEPLuK5ue,0rvjqX7ttXeg3mTy8Xscbt,USSM18100116
14,Cutting Crew,(I Just) Died In Your Arms,280400,4ByEFOBuLXpCqvO1kw8Wdm,3cniTumSiUysiPWXapGx1i,GBAAA8600046
15,Spirit Of The West,Home For A Rest,276173,41hzhXfYJYVFWF21JrmkA9,1wheYCHOG8jXrzyqvbEjKH,CAW119000447
16,Arrogant Worms,I Am Cow,122173,5bJb11mm0okDwGWyjah4q1,3o7cN4B2dPVXUONgxTZWWx,CA0PW9900008
17,Jonathan Coulton,Code Monkey,190560,1rIFZk9tTUtHP3vULR5wXe,292sg99iIOc93zcd30r4Oz,usx9p0643176
18,Jonathan Coulton,I Feel Fantastic,185653,0iq3MFEbuKTWJgdhwdOwXI,292sg99iIOc93zcd30r4Oz,ushm20937704
19,The Automatic,Monster,222440,5CoHWtIo2xRgBqVtm4OgcF,7IZcg74X6CKzf0SfRliRrB,GBUM70600401
20,Christopher Tin,Baba Yetu,209946,5fYwf17qytSuyFEnBpsq5W,60B2BBjn6yEQEl8XLYMZU2,US7LW0900001
21,Rod Stewart,Rhythm of My Heart,254866,6pceknxOgA22HKs99yPEm1,2y8Jo9CKhJvtfeKOsYzRdT,USWB10807931
22,Billy Joel,The River of Dreams,247626,30qVCFYKBtAENjTIBA8FPZ,6zFYqv1mOsgBRQbae3JJ9e,USSM19300280
23,Céline Dion,That's the Way It Is,241373,5s4catxeZsaWFnOrvrXZHf,4S9EykWXhStSc15wEx8QFK,CAC229900134
24,Cherry Poppin' Daddies,Zoot Suit Riot,233039,1qmJbXpVLydNcN6VTR40GU,1stGNsBocVFM9MfQtySETw,TCABP1327651
25,Jerry Lee Lewis,Great Balls Of Fire - 1964 Version,109706,5UvE5QlINnvEc7aFO14DVL,2zyz0VJqrDXeFDIyrfVXSo,USIR20400813
26,Bob Seger,Old Time Rock & Roll,194146,5EOoMWIB9iK4ZpcSex9Ec7,485uL27bPomh29R4JmQehQ,USCA28600270
27,Enter The Haggis,One Last Drink,208186,156fYYicI5aC1NmWgU5F4R,1LJuYVYyKSm7Tw9xGuulhS,ushm91191074
28,Duran Duran,Hungry Like the Wolf,209546,5pIaAkHJ928V2LGCz79FgQ,0lZoBs4Pzo7R89JM9lxwoT,GBAYE8200051
29,Ida Maria,Scandilove,181808,0wqj4c0MWhlP8niWFADiVL,2MCUVoI9J8LEqtHvf3X5ln,NOG9A1801010
30,Cher,Believe,239026,2goLsvvODILDzeeiT4dAoR,72OaDtakiy6yFqkt4TsiFt,GBAHT9803002
31,Train,Drops of Jupiter (Tell Me),259933,2hKdd3qO7cWr2Jo0Bcs0MA,3FUY2gzHeIiaesXtOAdB7A,USSM10019751
32,The Killers,Mr. Brightside,222586,7oK9VyNzrYvRFo7nQEYkWN,0C0XlULifJtAgn6ZNCW2eu,USIR20400274
33,The Killers,When You Were Young,220426,70wYA8oYHoMzhRRkARoMhU,0C0XlULifJtAgn6ZNCW2eu,USUM70605164
34,Bastille,Pompeii,214147,3gbBpTdY8lnQwqxNCcf795,7EQ0qTo7fWT7DPxmxtSYEc,GBAAA1200795
