Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,The Beach Boys,"Fun, Fun, Fun",136760,4T5SR1krNuVLOnxSjYb8nW,3oDbviiivRWhXwIE8hxkVV,USCA21202015
1,The Guess Who,No Sugar Tonight / New Mother Nature,293800,3beYmUcaXJZiSZMPbsMI7p,0cQuYRSzlItquYxsQKDvVc,USRC10001086
2,The Beatles,Eight Days A Week - Remastered 2009,163600,1Dg4dFJr3HW7sbA7vPejre,3WrFJ7ztbogyGnTHbHJFl2,GBAYE0601458
3,The Bobby Fuller Four,I Fought the Law,138360,4C63TBpzh2vSAp7RtWQb5N,5XoM6cP8fQykllfuK5V5TR,USRH10721938
4,The Drifters,Under the Boardwalk,161960,65jrjEhWfAvysKfnojk1i0,1FqqOl9itIUpXr4jZPIVoT,USAT20001017
5,Sonny & Cher,I Got You Babe,190080,6eN6IFp4ppKBPT61dylWWl,71lGEtP9qYXDsSXjfexTqO,USAT27500019
6,The Beach Boys,I Get Around (Mono),134386,3v9xlH6BpmRbqL7hgNJhfT,3oDbviiivRWhXwIE8hxkVV,USCA21202039
7,The Guess Who,"American Woman - 7"" Single Version",231640,5LPGZnsy07YNxeuTI1X3RT,0cQuYRSzlItquYxsQKDvVc,USRC16908370
8,"Crosby, Stills & Nash",Suite: Judy Blue Eyes - 2005 Remaster,444053,2PuUFT13yCzUOZun94WOXv,2pdvghEHZJtgSXZ7cvNLou,USAT20506555
9,Smokey Robinson & The Miracles,The Tracks Of My Tears,174360,6QyQmdvQ1ywNccYa0pwLNQ,6TKOZZDd5uV5KnyC5G4MUt,USMO16500449
10,Commodores,Three Times A Lady,217426,4ztwMHfPZhPoruZdBbgriM,6twIAGnYuIT1pncMAsXnEm,USMO17800521
11,Commodores,Nightshift,306560,23IK8TF2MSiLnuEjaYPfVV,6twIAGnYuIT1pncMAsXnEm,USMO18400528
12,Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)",160280,6b6IMqP565TbtFFZg9iFf3,7fIvjotigTGWqjIz6EP1i4,USMO16582593
13,Stevie Wonder,"Yester-Me, Yester-You, Yesterday",185293,0l9RGwc48deJ6j61KXAAvs,7guDJrEfX3qb6FEbdPA5qi,USMO16900526
14,Commodores,Easy,256426,1JQ6Xm1JrvHfvAqhl5pwaA,6twIAGnYuIT1pncMAsXnEm,USMO17700543
15,Four Tops,Reach Out I'll Be There,178533,6Pkj4nv5K53i64cLVgkVyY,7fIvjotigTGWqjIz6EP1i4,USMO10119990
16,England Dan & John Ford Coley,I'd Really Love to See You Tonight,159106,2r008pcfVYc0zgQvSRqUJE,01W8kYNqFHyKicPfR0pLwO,USAT20181306
17,Daryl Hall & John Oates,She's Gone,313373,5dFoWIiJ2814hRwMYDcFiU,77tT1kLj6mCWtFNqiOmP9H,USAT20614606
18,The Emotions,Best of My Love,220560,2M2WJ7gBlcKNxdhyfPp9zY,64CuUOOirKmdAYLQSfaOyr,USSM17700716
19,The Byrds,Turn! Turn! Turn! (To Everything There Is a Season),229360,5qBqBdfTEIWJwAS0Jm2F5R,1PCZpxHJz7WAMF8EEq8bfc,USSM16500041
20,The Tragically Hip,Bobcaygeon,295357,2oPzisApHGH3hbcu4C9UJS,0YMeriqrS3zgsX24nfY0F0,CAM199700077
21,Strawberry Alarm Clock,Incense And Peppermints,167453,16iApoNZYaN6gbMtRRVV6B,1nyQBzKgZ2hBLr7PnyV7cI,USMC10201063
22,Stompin' Tom Connors,Sudbury Saturday Night,143240,4u0dd6dDgbmsrq19dNFC60,1rOI6HUtD1IR5lbXSbpwQH,CAS217200012
23,Jackson Browne,Running on Empty,291893,6aqm56xP40foYBBtAWWrnY,5lkiCO9UQ8B23dZ1o0UV4m,USEE10900486
24,Lionel Richie,All Night Long (All Night) - Single Version,260426,2Wb9ejnmy27DUTUe9YF5Ew,3gMaNLQm7D9MornNILzdSl,USMO18390005
25,Smokey Robinson,Cruisin',270400,3eUGTvLXPESTsd3jsyDWjg,0h9smro0z3HqUbD94jotU8,USWWW0142447
26,Gladys Knight & The Pips,Midnight Train to Georgia,280093,6UaocmOO1bO7YwfHv9Kqcy,0TF2NxkJZPQoX1H53rEFM1,USBR17300001
27,The Temptations,The Way You Do The Things You Do,159680,0OXN4SIRlD2SDwXb80qtZr,3RwQ26hR2tJtA8F9p2n7jG,USMO16400258
28,Stevie Wonder,Sir Duke,234093,4RQgqR09VmHn345vRhKQ6T,7guDJrEfX3qb6FEbdPA5qi,USMO17600526
29,Stevie Wonder,My Cherie Amour,173306,5ZoDwIP1ntHwciLjydJ8X2,7guDJrEfX3qb6FEbdPA5qi,USMO18500078
30,Marvin Gaye,Sexual Healing,239800,7nVzOpFNZVFZtbq3OGJHX9,3koiLjNrgRTNbOwViDipeA,USSM19803028
31,Stevie Wonder,Part-Time Lover - Single Version,222400,2mQAEGJforwYykwmMIvSLo,7guDJrEfX3qb6FEbdPA5qi,USMO10000361
32,Marvin Gaye,What's Going On,233293,42PyxnviKRfOa8z39g8aZj,3koiLjNrgRTNbOwViDipeA,USMO17100041
33,The Ronettes,Be My Baby,160906,2G2YzndIA6jeWFPBXhUjh5,7CyeXFnOrfC1N6z4naIpgo,USQX91100088
34,The Mamas & The Papas,California Dreamin' - Single Version,162373,4s6LhHAV5SEsOV0lC2tjvJ,1bs7HoMkSyQwcobCpE9KpN,USMC16532697
35,John Lennon,Beautiful Boy (Darling Boy) - Remastered 2010,245693,5URfZHMlUWTWxPvvSBWcPk,4x1nvY2FN8jxqAFA0DA02H,USTO11000021
36,Yusuf / Cat Stevens,"If You Want To Sing Out, Sing Out",166533,4Z9EiwXhzf60PHe6hMWZsD,08F3Y3SctIlsOEmKd6dnH8,GBAAN8400009
37,The Doobie Brothers,Listen to the Music,227266,7Ar4G7Ci11gpt6sfH9Cgz5,39T6qqI0jDtSWWioX8eGJz,USWB10000626
38,Frankie Valli & The Four Seasons,Sherry,152160,0NpvdCO506uO58D4AbKzki,6mcrZQmgzFGRWf7C0SObou,USRH10175197
39,Neil Sedaka,Breaking Up Is Hard to Do,136093,64UJ810pLNwurMLRCPJPoa,5N6GwJzOcOY5kv8p0NjhYL,USRC19901068
40,The Tokens,The Lion Sleeps Tonight (Re-Recorded / Remastered),162133,5PXOWSSbx6YrMmFeM8AmSE,1GAJzApRTMmYZ9EjQ91VOy,USA370987989
41,Elvis Presley,Don't Be Cruel,122533,2NJbNGljm9WXqHGKY5MnrE,43ZHCT0cAZBISjO8DG9PnE,USRC10200073
42,The Righteous Brothers,Unchained Melody,216346,0s9zhya2wN7wOIU636orsF,4b0WsB47XCa9F83BmwQ7WX,USPG16590023
43,Martha Reeves & The Vandellas,Jimmy Mack,163733,7N3UAu6FkwdBg9J7OONBBP,1Pe5hlKMCTULjosqZ6KanP,USMO16700280
44,Sam Cooke,Bring It On Home to Me,162533,0WVTQp3SOCuMr08jh1jweV,6hnWRPzGGKiapVX1UCdEAC,USRC16206739
45,Sam Cooke,A Change Is Gonna Come,191160,0KOE1hat4SIer491XKk4Pa,6hnWRPzGGKiapVX1UCdEAC,USA176420220
46,Sam Cooke,Twistin' the Night Away,159853,7FS541dJh3iQAEXEZoDhE6,6hnWRPzGGKiapVX1UCdEAC,USRC16107214
47,The Clovers,Love Potion No. 9 - Remastered / Single Version,113200,5ytPMYb6dkoli8sNSEsdmZ,0ckkj0a9CvIJr4h84B0OlN,USEM39100219
48,The Coasters,Yakety Yak,113040,7demHL0GXA6YmTNqw3Btz8,3QZKZBEmr54lAVI5XvmjnM,USAT20102479
49,The Coasters,Charlie Brown,141666,6Q0aBakbTsjQO6iGdxmXlx,3QZKZBEmr54lAVI5XvmjnM,USAT20102480
50,The Coasters,Poison Ivy,164320,5y3EUvXJouxlUk5FLOblFB,3QZKZBEmr54lAVI5XvmjnM,USAT20102482
51,Buddy Holly & The Crickets,I Fought The Law,133613,00DulWubRZSZewFlk9nm68,15jBNfRUPUgdZOTSaNoF5l,USMC15947469
52,The Coasters,Down in Mexico,196466,4OnqJ1ml4Jgr5AAKNrrYCD,3QZKZBEmr54lAVI5XvmjnM,USAT20102486
53,Danny & The Juniors,At The Hop,150866,4LcrHUkRmXG3c0YD5VYutn,6Ahm6X9wSKXitavOvu0XzY,USMC15919927
54,Dion & The Belmonts,I Wonder Why,141386,7vAw4LLIms6X8ZHcbtoazz,2loYllWFfoWpoxC5YrJKc4,USLA19200009
