Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,blink-182,First Date,171533,1fJFuvU2ldmeAm5nFIHcPP,6FBDaR13swtiWwGhX1WQsP,USMC10110874
1,Yellowcard,Ocean Avenue,198266,23oxJmDc1V9uLUSmN2LIvx,3zxKH0qp3nBCuPZCZT5Vaf,USCA20300233
2,Good Charlotte,Lifestyles of the Rich & Famous,190173,2g2a5kDeZexbUTD8abcvm6,5aYyPjAsLj7UzANzdupwnS,USSM10210275
3,Tonight Alive,Little Lion Man,233146,6oyJip5XQHRqcsy6hOTqw3,5pjCYG6hPLBO3y4swxu3dh,US5261115902
4,Bowling For Soup,1985,193000,5oQcOu1omDykbIPSdSQQNJ,5ND0mGcL9SKSjWIjPd0xIb,USJI10400613
5,Jimmy Eat World,The Middle,165853,6GG73Jik4jUlQCkKg9JuGO,3Ayl7mCk0nScecqOzvNp6s,USDW10110256
6,The All-American Rejects,"Swing, Swing",233266,003FTlCpBTM4eSqYSWPv4H,3vAaWhdBR38Q02ohXqaNHT,USDW10200529
7,blink-182,Bored To Death,235613,44TuSOP6xIAEeJmZsN3nXO,6FBDaR13swtiWwGhX1WQsP,QMRSZ1600281
8,Weezer,Say It Ain't So,258826,6VoIBz0VhCyz7OdEoRYDiA,3jOstUTkEu2JkjvRdBA5Gu,USGF19962907
9,P!nk,Raise Your Glass,202960,1gv4xPanImH17bKZ9rOveR,1KCSPY1glIKqW2TotWuXOR,USLF21000090
10,Green Day,Know Your Enemy,190986,5qtwzv99vOr5UTwnTixn7j,7oPftvlwr6VrsViSDV7fJY,USRE10900522
11,Linkin Park,In the End,216880,60a0Rd6pjrkxjPbaKzXjfq,6XyY86QOPPrYVGvF9ch6wz,USWB10002407
12,Less Than Jake,All My Best Friends Are Metalheads,211400,1hh4GY1zM7SUAyM3a2ziH5,20oQv3LStCKCjI9oQ0JNha,USCA29800348
13,Simple Plan,I'm Just a Kid,198333,6otiaV2fagE3s8IvP6WkwG,2p4FqHnazRucYQHyDCdBrJ,USAT20111234
14,Fall Out Boy,"This Ain't A Scene, It's An Arms Race",212040,1oagRT7LfpVlNJN6FSZDGp,4UXqAaa6dQYAk18Lv7PEgX,USUM70619006
15,Simple Plan,Perfect,277026,4j3X4KX8rURekAVIFUhI23,2p4FqHnazRucYQHyDCdBrJ,USAT20200143
16,Billy Talent,Fallen Leaves,199200,3jUTjCISntIUFL8jnAjzgc,08yf5A2nS4XEeNvabDXqyg,USAT20612286
17,My Chemical Romance,Dead!,195520,0uukw2CgEIApv4IWAjXrBC,7FBcuc1gsnv6Y1nwFtNRCb,USRE10602904
18,The All-American Rejects,Gives You Hell,213106,6ihL9TjfRjadfEePzXXyVF,3vAaWhdBR38Q02ohXqaNHT,USUM70837368
