Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,`Chris Andrews & Mark Hiscock,The Old Polina,208413,5FgvnL10vTgIGkNIGeRBdy,61fFPEm48qB4zhDgNikR11,ushm21155267
1,John Prince & A Piece of the Rock,Sail Away (Schooner Song),280066,3k9SPDXjSMVQrgllqsL1zt,1EYXroKY2KzBBy3jlD2JAH,ushm21155263
2,The Celtic Connection,Fogarty`s Cove,164533,1WloFdWwQEseU0PD3jumto,7fnASfwfVJkReF5vfyoQ9v,ushm21155264
3,Shanneyganock,Heave Away Me Johnnies,219893,66vzXDzR9EJcz0s3osRaRy,04afWRg7KofT5Ae0W1kjpU,ushm21155265
4,DÀrcy Broderick,St. Brendan`s Voyage,213613,2DMDEDVa3iLbimzpQDNDvw,3ms8u1h5zSYR0b58DfMJ0r,ushm21155266
5,The Punters,Banks of Newfoundland,212453,38BlEkRsDwTQwPLhOmDTvW,2uaHG4CuGwHg1cGlw5sAfD,ushm21155268
6,Tarahan,Up She Rises,193080,5XNW8PZjWM7PkfL2ccmBa0,494wLacj5LzccxrrGWYycS,ushm21155269
7,Mark Hiscock,Fishin`In A Dory,192226,1gwVS8xsStIfcKlwajiIsC,7mZfABXrmjP5SY8cUaaMuI,ushm21155270
8,Mike Hanrahan,Nellie J Banks,178080,7GvOP6qfFUYitFrB7SLfFD,0fhWROWx4lNLT0QFhL0Wpl,ushm21155271
9,Simani,Loss of the Truxton & Pollux,256079,4MJWQVdJ1AhyuHDXeaqM5N,3zt9c8xXpoG9dwYPeGWFjY,ushm21155272
10,Tom Nemec,Squid Jiggin`Ground,218586,4HxAcThJV0b5Z4US1klOph,0NYZR7jB7NlokSIs9RWnPa,ushm21155273
11,Patrick Moran,Ferryland Sealer,208893,7J3mH2sxrGR0xmqKbM8UY7,2KaW9Bsc9FSyFV24hqMSiO,ushm21155274
12,The Irish Descendants,Let Me Fish Off Cape St. Mary`s,341893,6fKNkdHBhA8lrC7Zvi289g,5giSQAxJBRmRI6RpjDza9I,ushm21155275
13,Chris Andrews,Cliffs of Baccalieu,198893,2lrYrod72zzz5HaIFPPLje,49czbwrhT97D0tODGwDyLs,ushm91076028
14,Fine Crowd,Theresa Maria,213573,1ClRA8xm1TAT0zjw9TYIWX,3ZiO1kYoclIA7V539dd9DE,ushm91076029
15,Tom Boland,Bound Down For Newfoundland,277453,6n3wPGS129lsgncm2mnTK5,0EELYU7eVia2WCx9JIgk8w,ushm91076030
16,Shanneyganock,Make & Break Harbour,249933,48MkVJrHe6LoVjTgGedADV,04afWRg7KofT5Ae0W1kjpU,ushm91076031
17,Simani,The Loss of the Marion,197800,3TdWSuS7Kp2mcwHIEwtfxA,3zt9c8xXpoG9dwYPeGWFjY,ushm91076032
18,The Irish Descendants,Barrett's Privateers,258093,1xUxWIh4OQNbJpmU2mGuhB,5giSQAxJBRmRI6RpjDza9I,ushm91076033
19,The Government Rams,Towards the Sunset,329893,7baYOo6qJrRUusy4xtBMo0,3hKGcSoPbqpzzdnlO560lf,ushm91076034
20,The Punters,Heave Away,227973,75MoogztiYGNTXUku9etFk,2uaHG4CuGwHg1cGlw5sAfD,ushm91076035
21,"Mark Hiscock, Patrick Moran, Chris Andrews & Mike Kinsella",Lukey's Boat,172613,0nAiVY6bX2oqjwGaYD6vcC,3qxrjqJ24OuKmba6O4pYUF,ushm91076036
22,Arthur O'Brien,Mary Ellen Carter,295066,5ckUhjyyHnlqdb8bbNpGSY,4YqWzDA0s7yFI6sdqC9nEf,ushm91076037
23,The Celtic Connection,Greenland Whale Fishery,198826,1wpEo6rRyCKu1DzERbOS8C,7fnASfwfVJkReF5vfyoQ9v,ushm91076038
24,Shanneyganock,Shoals of Herring,206533,336gbMe5giG6DhUfNALEqp,04afWRg7KofT5Ae0W1kjpU,ushm91076039
25,Janet Cull,The Tiny Red Light,132800,6FWHJV2l5xoYxvoCd65Dlj,0hOXcc7zgQbjWMUqnt7hK7,ushm91076040
