Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,Paramore,Ain't It Fun,296520,1j8z4TTjJ1YOdoFEDwJTQa,74XFHRwlV6OrjEM0A2NCMF,USAT21300009
1,Tears For Fears,Break It Down Again,271533,15kc3DJyYixeEEq5kRRrOm,4bthk9UfsYUYdcFyqxmSUU,GBF089390003
2,Toby Keith,Beer For My Horses,204000,7E2DqvnVtbIrFrL5X6YH9Q,2bA6fzP0lMAQ4kz6CF61w8,USDW10200309
3,Aqua,Doctor Jones,203293,4cQ4uc9psVcYC2S89nd7JG,6kBjAFKyd0he7LiA5GQ3Gz,DKBKA9700405
4,Evanescence,Bring Me To Life,235893,0COqiPhxzoWICwFCS4eZcp,5nGIFgo0shDenQYSE0Sn7c,USWU30200093
5,blink-182,What's My Age Again?,148360,4LJhJ6DQS7NwE7UKtvcM52,6FBDaR13swtiWwGhX1WQsP,USMC19959007
6,Great Big Sea,Ordinary Day,191266,07W1mUW1Q09J8vDpvgI0hK,0GxOdKrtD5oUmQROcCs8M4,CAG149700001
7,Great Big Sea,When I'm Up (I Can't Get Down),207266,1lXWuBPaZYcMyDlkzOrvrR,0GxOdKrtD5oUmQROcCs8M4,CAG149700002
8,a-ha,Take on Me,225280,2WfaOiMkCvy7F5fcp2zZ8L,2jzc5TC5TVFLXQlBNiIUzE,USWB19901214
9,July Talk,Guns + Ammunition,184853,4XrcFtphDxTjdx09xVsIZX,3EaMbsBlExxNxLvTJcZvDq,CA8OU1300013
10,July Talk,Picturing Love,215000,7IfskrsLpZhR3IdFqcLPzB,3EaMbsBlExxNxLvTJcZvDq,CA8OU1600012
11,Carbon Leaf,What About Everything?,224906,7pMWn5fjw6P3n3lj5UZaVN,4bofI6U62c9ZvTOrORFVwc,USVG20400080
12,Carbon Leaf,Lake of Silver Bells,335120,3Zp6BxgeaTenpDLVjJcgGq,4bofI6U62c9ZvTOrORFVwc,US8N51601137
13,Blue Rodeo,5 Days in May - Remastered 2012 version,434053,5AIcpQ7JFM3DZju7bPqb8t,4M1fxLs3K8DkyCaTEpdfo0,CAW111200051
14,Amanda Palmer,Runs in the Family,164426,0GdiWLQt5VYtMEcero6AOW,726Dh6A5VyDfAAQxilT6A0,NLA320886591
15,Jonathan Coulton,The Future Soon,230320,2chEZfdAqJvlw9dM3hAU6p,292sg99iIOc93zcd30r4Oz,ushm90456496
16,Otis Redding,(Sittin' On) the Dock of the Bay,166826,4Y4Gd3ty8uut6Qw43c7yJc,60df5JBRRPcnSpsIMxxwQm,USAT29900865
17,Bowling For Soup,I Am Waking up Today,168522,0FpHB0gRd7IW0xKOPMqU6u,5ND0mGcL9SKSjWIjPd0xIb,USZCN1300035
18,Bowling For Soup,1985,193000,5oQcOu1omDykbIPSdSQQNJ,5ND0mGcL9SKSjWIjPd0xIb,USJI10400613
19,The Fables,Heave Away,165280,2YnYkMnSOC4z9bWjriZH3t,6m7YfL6SLo94WxTEXHVaFN,ushm91086630
