Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,Amanda Marshall,Birmingham,321066,7uq3apmiiLp8WbgcbDZe6X,2ON3fLFbL1rHfHEjeYNKsO,CAC220003053
1,Cyndi Lauper,Time After Time,241333,7o9uu2GDtVDr9nsR7ZRN73,2BTZIqw0ntH9MvilQ3ewNY,USSM18300650
2,The Hit Crew,Ten Rounds With Jose Quervo,182252,2yDSdBx9uafv9lhX1JV37J,76PJKS3IQsf4sSayx2taE0,US2Y30740383
3,Brooks Jefferson,Friends in Low Places,258507,4OMj5QWwvYSUs9O0hsymts,6RuIbUAQK9fmBq08AbY6XE,uscgj1501668
4,Brooks Jefferson,Much Too Young (To Feel This Damn Old),178306,2PiwVHP6V6stLaGUu5FilK,6RuIbUAQK9fmBq08AbY6XE,uscgj1501677
5,Done Again,"Famous First Words [In the Style of ""Gil Grand""]",159335,3zGlg2lK1GhvLSAHL3Z8HU,0GQkTwFb7D3ePIpnxwYavf,USK4W0714613
6,Gordon Lightfoot,Sundown,213400,0SjnBEHZVXgCKvOrpvzL2k,23rleGXVOVVgTk3xgtmfE4,USRE10901178
7,Great Big Sea,Ordinary Day,191266,1Sb9a21Mrm8FplRMJcvEXE,0GxOdKrtD5oUmQROcCs8M4,CAG149700001
8,Jimmy Buffett,Trip Around the Sun,199453,5CQLQZ41IVDntufcKEngeg,28AyklUmMECPwdfo8NEsV0,USMB50400007
9,LeAnn Rimes,Can't Fight The Moonlight,215506,2AogRMqARWyUP7VQ3gmSoY,2d3VHzlOEwXvmBdS4pzOPL,USCRB0000703
10,Lonestar,Amazed,239986,6iNcyWk5iUEY7P9zeTc5hm,3qbnxnvUqR14MJ9g8QwZJK,USBN19800111
11,Marc Cohn,Walking in Memphis,252613,5fgkjhICZnqFctrV0AyuQD,2C8mKwk3z5DtqLcSwUdYJ9,USAT29900737
12,Martina McBride,Independence Day,204626,1nVoLxz8C0uGgMKfywy0vf,3P33qFNGBVXl86yQYWspFj,USRN19300456
13,Rascal Flatts,Prayin' For Daylight,215600,0DAVCurdi9ZqkVUKIuikzm,0a1gHP0HAqALbEyxaD5Ngn,USHR19901101
