Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Bastille,Pompeii,214147,3gbBpTdY8lnQwqxNCcf795,7EQ0qTo7fWT7DPxmxtSYEc,GBAAA1200795
Flogging Molly,What’s Left of the Flag,218960,2NFyWtBM9pTPszMMmxjVOl,5kQGFREO5FzMBMsAO3cEtj,USA6G0223002
The Irish Rovers,The Dublin Pub Crawl,268800,78nceFqT22hjM0pLjQh1Lg,0tkKwWigaADLYB9HdFCjYo,CA6BE1200033
Blues Traveler,Hook,288506,0ZhSQIDIv0CWVc0Vt1aiBm,3pHeBYl1yujXcZqqfF1UyQ,USAM19400304
Modern English,I Melt With You - Rerecorded,235933,78ocJAEFOYKVjYgXZ8fggD,0fYPQBOx0vsRMmjUba9HgF,USTV19000011
Third Eye Blind,Never Let You Go - 2008 Remaster,237240,1sxUaLi0G2vB7dl4ogtCxH,6TcnmlCSxihzWOQJ8k0rNS,USEE10801710
Eric Heatherly,Flowers On The Wall,209440,3kgMG3gvIInB7t0RgqjQFH,64AyHnB0YQfCZFo5etz5vY,USMR19989082
The Irish Rovers,Puff the Magic Dragon,163360,5I24oOBoQaHZhBwENmIulb,0tkKwWigaADLYB9HdFCjYo,CA6BE1400023
Steps,Story of a Heart,256493,3ZR0uuIou8TvwlVxZhKqyk,17UkABEasVRlCcIFZ3wHb7,GBSC61700008
Sham Rock,Tell Me Ma,234240,7BZOYDhoCAR2AkvGBrj6vw,3btIWfhXaf5db1gpLbXuB3,GBEXG0307114
O.A.R.,Love and Memories,207493,4P8R77nB50xhmP0lyQXcoJ,1Cq0LAHFfvUTBEtMPXUidI,USAT20505332
O.A.R.,Shattered [Turn The Car Around],255493,32oh9wNU89gmX6CohLTdeG,1Cq0LAHFfvUTBEtMPXUidI,USAT20801955
Goldfinger,Superman,185600,6cL7NCFSvqWrBH5r4mkvVV,7sVQKNtdP2NylxMgbNOJMM,USMJ19700131
Michelle Branch,All You Wanted,217680,0kr6d8wHDQPlzuET33NVn6,5rScKX1Sh1U67meeUyTGwk,USMV20100082
Billy Ocean,Caribbean Queen (No More Love On the Run),244440,72dwliDcUH6g2TFiMTEbE9,5IDs1CK15HegSAhGEbSYXo,GBAHK9700109
The Refreshments,Banditos,257200,466QMr5bVL5dEjtGxgaXyC,5Fhey8VIfTavg9F99QlipO,USPR39607390
Dwayne Johnson,You're Welcome,163893,6U4VqEHy4n5VeiH4pQPL24,1T8S48bD91THNKBByWBDyn,USWD11677860
Meat Loaf,Bat Out of Hell,590000,3mCeeoBvTTpg8Xy2Wuvirw,7dnB1wSxbYa8CejeVg98hz,USSM11206824
Bowling For Soup,I've Never Done Anything Like This,197506,04v90sxM2Vz5qus7X9OhZk,5ND0mGcL9SKSjWIjPd0xIb,USZCN1100076
Bowling For Soup,S-S-S-Saturday,187813,4DQjiYEcfsCiAyQA1ugpkl,5ND0mGcL9SKSjWIjPd0xIb,USZCN1100070
Celtic Thunder,The Galway Girl,162133,3CeiAaccketdGMVcgzzxnK,0DZ5n0r1P0ZjKbjPdbN4wr,IEBOD1525229
Reel Big Fish,Beer,210533,7qEm8Z4KFLdCMlv96KykVd,3bXhZFreBJF4QDUUiMmtZW,USJI10200014
LEN,Steal My Sunshine - Single Version,211466,5Muvh0ooAJkSgBylFyI3su,0nyc9SZGLITSOJASmTZsnZ,USSM19900274
Wild Colonial Bhoys,Home For A Rest,282746,1YDAbVdlOHHsq48nkoIaY0,0aLUSuJgvQUUPKOJb9F4n4,uscgh0743458
The Gourds,Gin and Juice,383733,7v7ytRZIWuZuNxXSGwxIhK,2gk28RNJaPStV8BnugHYpF,NLK530700063
Jimmy Barnes,(Your Love Keeps Lifting Me) Higher and Higher,184333,4ziEm6X4YvuPL5G4xvYRUc,1k5aZWIOUbUfKcnMxtEivJ,AULI00402980
Bruce Springsteen,Pink Cadillac - Single B-Side - 1984,213066,6lsEhtjoN6Wu2kB85QyEO7,3eqjTLE0HfPfh78zjh6TqT,USSM18300380
Sammy Davis Jr.,The Candy Man,188226,5X3XrHlCFVGqNKpGp85xVC,1NAWG3AngjBXyKbmPaz92D,USUR10000455
Kenny Rogers,The Gambler,214880,5KqldkCunQ2rWxruMEtGh0,4tw2Lmn9tTPUv7Gy7mVPI4,USCN17800055
The Cranberries,Dreams,271560,4JGKZS7h4Qa16gOU3oNETV,7t0rwkOPGlDPEhaOcVtOt9,USIR29300080
The Cranberries,Linger,274706,0gEyKnHvgkrkBM6fbeHdwK,7t0rwkOPGlDPEhaOcVtOt9,USIR29300085
moe.,In A Big Country,216360,7BqODADTn9uMwfS29GgCxm,2ZfHMUPrxoZNDTBPHmmdhj,US52Y0163410
