Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
BlackHawk,Goodbye Says It All,204160,7yYWlhU8uy27bLV6gxPcFD,4mOt6H7OnuqLnQrm1Bboc6,USAN29700094
Dwight Yoakam,Fast as You,285200,6FevJcaJvt5EvsHnuJHBnb,2sxmKe3CUrWnx7eoXMhOlW,USRE19900326
Chris Cummings,Sure Enough,194893,5LITJlrLrUsmOnyN7X9rfa,0YmStfdKDDogHs80PfUWyv,USWB19601035
Jessica Andrews,Who I Am,255233,0rK4HCKzv2r1IXqKX3DKpq,5rNhVm2CnqiO5Lv4Dt2lck,USDW10022146
Lonestar,My Front Porch Looking In,223573,2CVJECHIdpe8otFH0XFI4F,3qbnxnvUqR14MJ9g8QwZJK,USBN10200036
Sugarland,Baby Girl - 3rd Version/Remix/Single Version,239693,6qQIH999KekS3qFWqR5qMO,0hYxQe3AK5jBPCr5MumLHD,USMR10400067
Montgomery Gentry,Daddy Won't Sell the Farm,258733,5Xzm20FJOt49zsQ8R10JCj,3bGXaFVQLASmDMdjjeJr8a,USSM19806143
Keith Urban,Who Wouldn't Wanna Be Me,221120,7MtZJEuIZ6GEKGSN7ttTkX,0u2FHSq3ln94y5Q57xazwf,USCN10701226
Joe Diffie,John Deere Green,273000,2ZXsvL9DO2MPv43Ay1IxgR,3THMgU4KdL7LlO5TEREs2g,USSM19200245
Alan Jackson,Margaritaville (with Jimmy Buffett),255013,2CEWW0uqHj7sJrXdfHwozn,4mxWe1mtYIYfP040G38yvS,USAN29900114
Montgomery Gentry,Something to Be Proud Of,256600,4D8uIY6Wzj7dJDaw0dW0UF,3bGXaFVQLASmDMdjjeJr8a,USSM10402872
Joe Diffie,Bigger Than the Beatles,235440,1pJKAxSNxqM8R653BL8oiH,3THMgU4KdL7LlO5TEREs2g,USSM19501621
Brooks & Dunn,My Maria,208106,09qzRI951OVkXGCc33gzcT,0XKOBt59crntr7HQXXO8Yz,USAN20900077
Terri Clark,In My Next Life,249880,6kSa9qzTKpzQp1aUktkqXA,0HLOP0AdsaWe5Pt5TNueGC,USBN10600124
Montgomery Gentry,Where I Come From,201840,10ps1I1sIMRNZW11eceN7W,3bGXaFVQLASmDMdjjeJr8a,USASN1109250
Alan Jackson,Livin' On Love,228733,26iYJEimPCE0ozDlpj0UFN,4mxWe1mtYIYfP040G38yvS,USAN21000121
Brooks & Dunn,Rock My World - Little Country Girl,221773,3sZ8bjYNRyLe6VccV8znB0,0XKOBt59crntr7HQXXO8Yz,USAN20900088
Brooks & Dunn,Building Bridges - (Guest Vocals by Sheryl Crow and Vince Gill),262866,1mLStmTgqH0nBzds3S4jkJ,0XKOBt59crntr7HQXXO8Yz,USAN20500027
Sara Evans,Born to Fly,336360,1zmvaeDthBdtthb4RgYr9a,7qvsLYsYP0MHD7jkdv6DAG,USRN10000133
Sara Evans,Suds in the Bucket,227266,6NhpIdjYoufuNNlBsgOztc,7qvsLYsYP0MHD7jkdv6DAG,USRN10100725
Sara Evans,I Could Not Ask for More,287733,3TcoHf7nvC8RaDVdfIFjFR,7qvsLYsYP0MHD7jkdv6DAG,USRN10000034
Lonestar,No News,173600,2KgsImShtnuBYfKVgfbAuy,3qbnxnvUqR14MJ9g8QwZJK,USBN19500038
SHeDAISY,Little Good-Byes,200693,5ZX3IrB9tPxOoBZdXILNpy,2qFe0FyUMK8XXoyOsfYJr2,USHR19800203
Lady A,American Honey,224866,4xInIiKipU1mtUogJ3ZdYr,32WkQRZEVKSzVAAYqukAEA,USCN10900684
Brooks & Dunn,Hard Workin' Man,178493,51uGoXB3PbXLyeH0aPGo7H,0XKOBt59crntr7HQXXO8Yz,USAN29700107
Jo Dee Messina,I'm Alright,199040,0MjT9xQqJrQlNrkWKZgFbQ,3ltFy7g6KKQPPttsdOMlq3,USCRB0101075
Jo Dee Messina,"Heads Carolina, Tails California",209760,6Lmx6bz3PGYuNSjKMnYBOa,3ltFy7g6KKQPPttsdOMlq3,USCRB9900287
Phil Vassar,Little Red Rodeo,203680,166uOnqKj9iSOp4GYqoDOj,1XhhO2dTs2fKyhILj0aam6,USAN20500140
Brooks & Dunn,Proud of the House We Built,226186,7dP5CWoAZlHVBzNAsSxYP1,0XKOBt59crntr7HQXXO8Yz,USAN20700072
John Michael Montgomery,Life's a Dance,188840,0NyMrtH8mUuvtJjEpESn7J,7mPcfx7PhnBh6n4HMCd61A,USWB10903825
John Michael Montgomery,Sold (The Grundy County Auction Incident),152186,0NLBwQBYJhEM9t3KAMPFVR,7mPcfx7PhnBh6n4HMCd61A,USAN10000026
