Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Creedence Clearwater Revival,Up Around The Bend,161466,6Zof07iYuSnhdzXVRI1YGa,3IYUhFvPQItj6xySrBmZkd,USC4R0817632
Creedence Clearwater Revival,Have You Ever Seen The Rain?,160133,4JuJ9ewGWWGy0U3URuXOSI,3IYUhFvPQItj6xySrBmZkd,USC4R0817643
Creedence Clearwater Revival,Down On The Corner,166280,7v4dd0CpLTZdGZwLaPXVIC,3IYUhFvPQItj6xySrBmZkd,USC4R0817613
Otis Redding,(Sittin' On) the Dock of the Bay,166826,4Y4Gd3ty8uut6Qw43c7yJc,60df5JBRRPcnSpsIMxxwQm,USAT29900865
Marvin Gaye,Ain't No Mountain High Enough,151666,1LeWIs2hP2r5yOQnVuYoI5,3koiLjNrgRTNbOwViDipeA,USMO16700534
Creedence Clearwater Revival,Lookin' Out My Back Door,152373,2os4nK3Y63rxYs53hVxexF,3IYUhFvPQItj6xySrBmZkd,USFI87000056
Creedence Clearwater Revival,Proud Mary,188666,031rVKYjBhsaVM8o1i1vK0,3IYUhFvPQItj6xySrBmZkd,USFI86900049
The Doobie Brothers,Black Water - Single Version,258613,3x1v32I3SZNvC7q7bDhcGm,39T6qqI0jDtSWWioX8eGJz,USWB10901936
The Doobie Brothers,Listen to the Music,227173,2fja4gHzPsIXiK4bMeU0hN,39T6qqI0jDtSWWioX8eGJz,USWB10902078
The Doobie Brothers,China Grove,195306,7cy1bEJV6FCtDaYpsk8aG6,39T6qqI0jDtSWWioX8eGJz,USWB19900750
Mungo Jerry,In the Summertime,211880,04iM7Te9lhFf9JJB5xDvOP,2mbvqMGpwLsakeH45p1Jrb,GBAJE7000049
Norman Greenbaum,Spirit in the Sky,239600,0Y2SrByf4G3kbq2nBEHQRn,7f8LNBVXN0h35veHrpxQFL,USRE19600416
Neil Diamond,Sweet Caroline,203573,5akBpqWmFWEHoBGRIrR5aK,7mEIug7XUlQHikrFxjTWes,USWWW0130327
Steve Earle,Copperhead Road,270066,0ttKO7eBjyoq5Khr2X9lwV,2UBTfUoLI07iRqGeUrwhZh,USMC18826253
Steely Dan,Reelin' In The Years,275466,1I7zHEdDx8Ny5RxzYPqsU2,6P7H3ai06vU1sGvdpBwDmE,USMC17347184
Allman Brothers Band,Ramblin' Man,288160,2Q7LpkYrS0PBpoq3iCqypa,4wQ3PyMz3WwJGI5uEqHUVR,USA027300020
"Earth, Wind & Fire",September,214826,5nNmj1cLH3r4aA4XDJ2bgY,4QQgXkCYTt3BlENzhyNETg,USSM17800253
Thin Lizzy,The Boys Are Back In Town,266720,43DeSV93pJPT4lCZaWZ6b1,6biWAmrHyiMkX49LkycGqQ,GBF087600063
Frankie Valli,Grease - 2007 Remaster,207306,5Vrczz39CvlD3OGCa6utoA,3CDKmzJu6uwEGnPLLZffpD,USRH10720957
The Beach Boys,Kokomo,217093,2STQAr3BRiAeeveJ07gZh7,3oDbviiivRWhXwIE8hxkVV,USNPD0713481
Talking Heads,Take Me to the River,302893,1auuYcOrua5hrsGCS7idun,2x9SpqnPi8rlE9pjHBwmSC,USWB19900863
Alan Jackson,Chattahoochee,147706,2WzeWKX4Mymqvyxo2CBpPX,4mxWe1mtYIYfP040G38yvS,USAN21000118
Buffalo Springfield,For What It's Worth,160933,6LsY0qKAPK4XZt8PiZ9Cxc,3eskO5m0H4yiF64vRySBjr,USEE10900072
Manfred Mann,Do Wah Diddy Diddy,143400,7gEpTMp9MQc1uJwivtL37R,5670CyWrIOA7702gNjsGMZ,GBAYE6400100
Creedence Clearwater Revival,Proud Mary,187213,6mv76kovZyVB0UHbqUsee0,3IYUhFvPQItj6xySrBmZkd,USC4R0817594
Dobie Gray,Drift Away,280400,7xCxUtl4JrkUTo0pMnzsXg,3mC1KCuZZSOlN8Z0M56VsV,USA371026001
Seals and Crofts,Summer Breeze,205480,0acQgAidYiiSWQrPZHHkzo,6jdObwsrIjSRnBbMw6lPBj,USWB19901645
Toad The Wet Sprocket,Walk On The Ocean,179040,6DfvtrAhkXb6ruEaTGdA8r,4j7EVY3kuDwLPfD2jfC7LC,USSM19100108
LØLØ,Dancing in the Dark,178471,1Lmm7Nz42ecjZn2WZU64JA,5MjcGshMggPgIHinIUDaX0,UK6KW1800237
Gene Clark,No Other,308533,5neFHiejZX5OmTD5ZtJexC,040Bv6cZTRh30LyyYVXgJX,USEE10251076
The Deep Dark Woods,Drifting On A Summer's Night,174866,5l3izdeM9WNg4yojWe45Yl,4ug92W02N1YsgX0t5wuXSl,CASB11610007
Lionel Richie,All Night Long (All Night) - Single Version,260426,2Wb9ejnmy27DUTUe9YF5Ew,3gMaNLQm7D9MornNILzdSl,USMO18390005
The Doobie Brothers,Listen to the Music,227266,7Ar4G7Ci11gpt6sfH9Cgz5,39T6qqI0jDtSWWioX8eGJz,USWB10000626
Jimmy Buffett,A Pirate Looks At Forty,235360,6ac6RlvEhiFraIxBYHhg1j,28AyklUmMECPwdfo8NEsV0,USMC17418890
Fleetwood Mac,Never Going Back Again - 2004 Remaster,134400,19Shlms2uTnOjIUg50TXzd,08GQAI4eElDnROBrJRGE0X,USWB11301112
Mungo Jerry,In the Summertime,211880,3RNyGLgSvmVRZ7xKUp8Wgd,2mbvqMGpwLsakeH45p1Jrb,GBAJE7000049
The Young Rascals,Groovin',151289,3c2kMiSB86tVq1J4oULmvL,5X3TuTi9OIsJXMGxPwTKM2,USAT21402943
