Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Jason Mraz,I'm Yours,242186,1EzrEOXmMH3G43AXT1y7pA,4phGZZrJZRo4ElhRtViYdl,USEE10800667
Buffalo Springfield,For What It's Worth,153693,1qRA5BS78u3gME0loMl9AA,3eskO5m0H4yiF64vRySBjr,USEE10170607
Bob Marley & The Wailers,Three Little Birds,180266,6A9mKXlFRPMPem6ygQSt7z,2QsynagSdAqZj3U9HgDzjD,USIR27700016
Otis Redding,(Sittin' On) the Dock of the Bay,163755,3zBhihYUHBmGd2bcQIobrF,60df5JBRRPcnSpsIMxxwQm,USAT21403443
Ben E. King,Stand by Me,180055,3SdTKo2uVsxFblQjpScoHy,3plJVWt88EqjvtuB4ZDRV3,USAT21402270
The Beatles,Hey Jude - Remastered 2015,425653,0aym2LBJBk9DAYuHHutrIl,3WrFJ7ztbogyGnTHbHJFl2,GBUM71505902
The Troggs,Wild Thing,155333,7jGzYUZ2Bgg8BDfYlQRfn8,57xdnSVt4ahJCIXYLieQ25,GBF086600001
The Cranberries,Zombie,306440,7EZC6E7UjZe63f1jRmkWxt,7t0rwkOPGlDPEhaOcVtOt9,USIR29400443
R.E.M.,Man On The Moon,314173,4jLv3tDBu8ww2R07DvL12s,4KWTAlx2RvbpseOGMEmROg,USWB19901554
Eddie Vedder,Guaranteed,164500,4LGF2tDg3878bs0mQPByZ4,0mXTJETA4XUa12MmmXxZJh,USJY51700110
Simon & Garfunkel,The Boxer,308520,76TZCvJ8GitQ2FA1q5dKu0,70cRZdQywnSFp9pnc2WTCE,USSM16900831
John Mayer,The Heart of Life,198200,78DwRIo6Vj6wqteyerGetr,0hEurMDQu99nJRq8pTxO14,USSM10603629
Led Zeppelin,Babe I'm Gonna Leave You - 1990 Remaster,401066,4OMu5a8sFpcRCPCcsoEaov,36QJpDe2go2KgaRleHCDTp,USAT29900535
Sting,Fragile,236306,5oE6INocVL9viDow5y8QNM,0Ty63ceoRnnJKVEYP0VQpk,USAM18700043
