Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Rod Stewart,Maggie May,350266,6rovOdp3HgK1DeAMYDzoA7,2y8Jo9CKhJvtfeKOsYzRdT,USPR37102613
Justin Timberlake,SexyBack (feat. Timbaland),242733,0O45fw2L5vsWpdsOdXwNAR,31TPClRtHm23RisEBtV3X7,USJI10600269
Billy Joel,Only the Good Die Young,235560,1xOXXYh6lTW8laxlW7JP2J,6zFYqv1mOsgBRQbae3JJ9e,USSM17700374
Queen,Don't Stop Me Now,209546,5eK3EGtSzTz9eEcPFwE37E,1dfeR4HaWDbWqFHLkxsg1d,GBCEG9400014
Queen,Bohemian Rhapsody - Remastered 2011,354320,7tFiyTwD0nx5a1eklYtX2J,1dfeR4HaWDbWqFHLkxsg1d,GBUM71029604
Queen,Another One Bites The Dust - Remastered 2011,214653,57JVGBtBLCfHw2muk5416J,1dfeR4HaWDbWqFHLkxsg1d,GBUM71029605
Queen,Under Pressure - Remastered 2011,248440,11IzgLRXV7Cgek3tEgGgjw,1dfeR4HaWDbWqFHLkxsg1d,GBUM71029622
The Doobie Brothers,What a Fool Believes,223866,2yBVeksU2EtrPJbTu4ZslK,39T6qqI0jDtSWWioX8eGJz,USWB10902441
The Police,Don't Stand So Close To Me,242666,5veJDT0MLsLbhYsx42GXUD,5NGO30tJxFlKixkPSgXcFE,GBAAM0201148
The Police,Message In A Bottle,290280,1oYYd2gnWZYrt89EBXdFiO,5NGO30tJxFlKixkPSgXcFE,GBAAM0201170
Coldplay,Speed of Sound,287906,7clUVcSOtkNWa58Gw5RfD4,4gzpq5DPGxSnKTe4SA8HAU,GBAYE0500602
Coldplay,Viva La Vida,242373,1mea3bSkSGXuIRvnydlB5b,4gzpq5DPGxSnKTe4SA8HAU,GBAYE0800265
Lionel Richie,Dancing On The Ceiling,270720,0snPJPxkk0MbTc0xeUvAPt,3gMaNLQm7D9MornNILzdSl,USMO18682745
