Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Red Tracy,Stop Children What's That Sound - Acoustic,154736,7y7FcBRsWlHxxeiQUkH7I3,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501114
Red Tracy,Knocking on Heavens Door - Acoustic,187164,3SdFg8ldLOtfh6iM36s5mS,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501113
Red Tracy,Some People Call Me the Space Cowboy - Acoustic,163764,1B0swvp8KvXdR9rPGd8JdG,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501112
Red Tracy,Old Man Take a Look at My Life - Acoustic,180800,7MtQaJOCPMU91noJqTHPAw,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501111
Red Tracy,Eve of Destruction - Acoustic,208695,50BQuR3v5SFzNMyqaXvKlA,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501110
Red Tracy,Sundown You Better Take Care - Acoustic,206285,3fnT9IBV7sh9OdEeyycT4N,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501109
Red Tracy,All We Are Is Dust in the Wind - Acoustic,185161,4rxhVrb1Gcj8LQqaUbyGBa,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501108
Red Tracy,Like a Rolling Stone - Acoustic,258000,5a0on0oW1EITcXMN4qlMsz,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501107
Red Tracy,Bye Bye Miss American Pie - Acoustic,376663,1TNRnBlUNZVsVLcka0zWAH,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501106
Red Tracy,If You Could Read My Mind - Acoustic,233217,6UV0rVjHGIHIKB06tUixdW,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501105
Red Tracy,Cecilia You're Breaking My Heart - Acoustic,156900,4Dlxu4QnKM2Z94qLlfEl2N,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501104
Red Tracy,Put the Lime in the Coconut - Acoustic,201777,5ocw9fxNd4zgw56Np5QhDM,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501103
Red Tracy,Suzanne - Acoustic,216428,33NMnlBqAdfHxGX86I9Pgm,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501102
Red Tracy,If You're Going to San Francisco - Acoustic,170086,5kq9FbRtSnq7ltFNmflhra,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501101
Red Tracy,Turn Turn Turn - Acoustic,228750,5P9x6xkQoqG4opP0zkcAB7,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501100
Red Tracy,They Paved Paradise and Put up a Parking Lot - Acoustic,137208,0zlXqT8FWmXnteuCAecxAN,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501099
Red Tracy,The Sound of Silence - Acoustic,186346,1boCsH9aCbd548AgoY4K0i,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501098
Red Tracy,Diamonds & Rust - Acoustic,213808,06nouTSfBEBBPO112YRfNH,0GkzeUhTBbF4JkZXpGJKwz,ES03S1501097
