Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
The Moody Blues,Your Wildest Dreams,291000,1T4iwEA2ySieXjWxjiMVWs,5BcZ22XONcRoLhTbZRuME1,USPR38600040
Simple Minds,Don't You (Forget About Me),263040,3fH4KjXFYMmljxrcGrbPj9,6hN9F0iuULZYWXppob22Aj,GBAAA8500001
a-ha,Take on Me,225280,2WfaOiMkCvy7F5fcp2zZ8L,2jzc5TC5TVFLXQlBNiIUzE,USWB19901214
Tears For Fears,Everybody Wants To Rule The World,251488,4RvWPyQ5RL0ao9LPZeSouE,4bthk9UfsYUYdcFyqxmSUU,GBF088590110
The Human League,Don't You Want Me,236920,3L7RtEcu1Hw3OXrpnthngx,1aX2dmV8XoHYCOQRxjPESG,GBAAA0200924
TOTO,Africa,295893,2374M0fQpWi3dLnB54qaLX,0PFtn5NtBbbUNbU9EAmIWF,USSM19801941
Wham!,Wake Me Up Before You Go-Go,231333,0ikz6tENMONtK6qGkOrU3c,5lpH0xAS4fVfLkACg9DAuM,GBBBN0009712
Eurythmics,Sweet Dreams (Are Made of This) - Remastered,216933,1TfqLAPs4K3s2rJMoCokcS,0NKDgy9j66h3DLnN8qu1bB,GBARL0300589
Dead Or Alive,You Spin Me Round (Like a Record),199666,7uHO4AmKtyGa5v5fsElGoC,5WWSL6rElJeUk3Uc1S2RyD,GBBBM8502013
Culture Club,Karma Chameleon - Remastered 2002,252773,2wSAWEYUHkt92X4SBAPqZE,6kz53iCdBSqhQCZ21CoLcc,GBAAA0201011
Loverboy,The Kid Is Hot Tonite,268960,7rOLhbPgZtlghYVXmKRDgh,2CLVPk9FcywjClBcTvWPkT,CAC228000005
Toronto,Your Daddy Don't Know,197133,7l5e4LE8XfewYpePTSg4Oa,2HGQd1vKFmNzTZ8CZ8tU83,CAS260200071
Loverboy,The Kid Is Hot Tonight,272266,0PK2N0qO5xGofLwJvXlmaU,2CLVPk9FcywjClBcTvWPkT,ITG271200360
The Police,Don't Stand So Close To Me,242666,5veJDT0MLsLbhYsx42GXUD,5NGO30tJxFlKixkPSgXcFE,GBAAM0201148
Free,All Right Now,330643,1gcESexgftSuLuML57Y69q,2e53aHBQdCMKWqHDuyJsjC,GBAAN7000001
Huey Lewis & The News,The Power Of Love,234333,2olVm1lHicpveMAo4AUDRB,7A9yZMTrFZcgEWAX2kBfK6,USCA20600519
Phil Collins,Sussudio,264946,07zkNvtcmPOFlMOXbma13k,4lxfqrEsLX6N1N4OCSkILp,USWI19600220
Andrea True Connection,"More, More, More",222613,4hepyFFOO9I7oZCNn3T2sz,3GHovBcEWpbnwCZDPF9GpM,USA560619706
CHIC,Good Times,495400,0G3fbPbE1vGeABDEZF0jeG,0Xf8oDAJYd2D0k3NLI19OV,USAT20001676
Rose Royce,Car Wash,312354,1tJtx09XQnxaynZLOaTNfZ,1OxJzMLmR9l5zPLap9OxuO,USA560624107
Robert Palmer,Simply Irresistible,255093,0bSr5pybJSlgG5OZH441gF,530Sdm7eqqzWBdDmILMgnu,GB01A8800001
Robert Palmer,"Bad Case Of Loving You (Doctor, Doctor)",192440,75zVpdjXwmy6SLr2hDnJYo,530Sdm7eqqzWBdDmILMgnu,USIR27900020
Paul Simon,Kodachrome,215400,3f0U5NaD1bCk8nmKpn2ZJY,2CvCyf1gEVhI0mX6aFXmVI,USSM11002044
The B-52's,Roam - Edit,246853,0jfONt56vckywtWwm8wjki,3gdbcIdNypBsYNu3iiCjtN,USRE10901286
Talking Heads,And She Was,219200,5JwK7v6XhG0YgqDuCgzOy8,2x9SpqnPi8rlE9pjHBwmSC,USWB19900874
Billy Idol,White Wedding (Parts 1 And 2) - Shotgun Mix / 24-Bit Digitally Remastered 2001,505093,4OYRJv1tcOEPe38Fwc7y1m,7lzordPuZEXxwt9aoVZYmG,USCH30100144
